SITE,Z,Date,Zsec,PH,COND,ALK,OP,TFP,TP,CL,NO3,SO4,TN,NH4,SI,Na,Mg,Ca,K,Fe,CHLA,T,DO (mg/l),DO (sat),Zcomp (m)
D,10,24-Oct-1995,7.8,7.52,109.0,30.5,0.5,3.0,5.0,11.6,0.010,,,0.005,1.07,6.1,,11.5,,,2.02,15.4,9.5,95.0%,
D,10,15-Nov-1995,6.6,7.57,111.0,28.0,0.5,3.0,5.0,10.9,0.020,,,0.005,1.60,6.1,,11.5,,,1.81,10.3,10.8,96.3%,
D,10,17-Apr-1996,7.6,7.63,104.0,27.0,3.0,3.0,5.0,10.3,0.030,2.50,,0.005,1.12,,,11.2,,,,4.5,11.4,88.1%,
D,10,1-May-1996,9.0,7.61,106.0,28.0,1.0,3.0,5.0,12.0,0.040,2.60,,0.005,1.14,,,11.9,,,1.00,6.8,11.4,93.4%,
D,10,14-May-1996,9.4,7.60,101.0,27.5,1.0,3.0,4.0,10.8,0.020,2.80,,0.010,1.14,,,10.5,,,1.30,8.4,14.1,120.2%,
D,10,29-May-1996,8.8,7.75,104.0,27.5,0.5,2.0,4.0,11.1,0.020,2.80,,0.005,1.09,,,10.9,,,1.39,12.1,12.3,114.4%,
D,10,11-Jun-1996,9.0,7.76,105.0,28.0,0.5,2.0,6.0,9.6,0.010,2.70,,0.005,0.95,,,11.0,,,2.26,13.0,11.0,104.4%,
D,10,9-Jul-1996,10.8,7.88,113.0,27.0,0.5,2.0,5.0,10.7,0.005,2.70,,0.005,0.80,,,11.1,,,0.60,14.5,10.5,103.0%,
D,10,7-Aug-1996,9.5,7.84,114.0,27.0,0.5,2.0,4.0,10.6,0.005,2.70,,0.005,0.69,,,,,,1.26,18.9,9.8,105.4%,
D,10,5-Sep-1996,10.0,7.76,108.0,28.5,0.5,2.0,4.0,10.7,0.010,2.70,,0.005,1.01,,,11.4,,,0.96,24.0,8.8,104.5%,
D,10,2-Oct-1996,7.0,7.72,113.0,28.0,0.5,2.0,4.0,11.1,0.005,2.80,,0.005,0.94,,,11.6,,,1.55,17.5,8.4,87.8%,
D,10,15-Oct-1996,8.0,7.61,107.0,27.0,0.5,3.0,5.0,10.2,0.005,2.50,,0.005,0.96,,,11.8,,,1.90,15.0,9.9,98.2%,
D,10,5-Nov-1996,8.2,7.53,100.0,29.0,0.5,3.0,6.0,10.4,0.010,2.40,,0.005,1.00,,,11.4,,,1.72,13.0,9.8,93.0%,
D,10,22-Apr-1997,6.0,7.56,104.0,27.0,3.7,2.1,5.4,10.3,0.049,2.57,0.18,0.005,1.33,6.0,2.3,10.2,,,1.70,3.9,12.7,96.6%,17
D,10,7-May-1997,6.0,7.51,117.0,27.0,0.5,2.1,4.7,10.3,0.040,2.61,0.15,0.005,1.25,6.0,2.3,9.7,,,1.72,6.5,11.9,96.8%,17
D,10,20-May-1997,7.0,7.52,108.0,27.0,2.1,2.4,7.5,9.6,0.030,2.85,0.22,0.013,1.21,6.0,2.3,10.2,,,2.12,7.5,11.8,98.4%,16
D,10,3-Jun-1997,7.1,7.67,122.0,27.0,1.8,2.7,5.7,9.7,0.010,3.17,0.17,0.005,1.08,6.3,2.3,10.8,,,1.80,10.3,12.8,114.2%,17
D,10,18-Jun-1997,9.5,7.76,109.2,27.5,1.6,1.5,2.6,10.3,0.031,2.94,0.13,0.005,1.07,6.3,2.4,11.0,,,0.70,14.7,10.6,104.4%,19
D,10,24-Jul-1997,7.6,7.66,100.0,28.5,0.5,2.3,3.6,8.8,0.005,3.10,0.17,0.005,0.56,6.0,2.3,11.0,,,1.68,20.4,8.6,95.3%,19
D,10,21-Aug-1997,5.5,7.69,108.5,28.0,3.1,2.0,4.9,8.5,0.005,3.14,0.14,0.016,0.50,6.0,2.3,10.6,,,1.29,22.0,8.4,96.4%,20
D,10,22-Sep-1997,6.5,7.47,110.8,28.0,3.3,1.2,4.3,9.5,0.005,3.06,0.13,0.005,0.58,6.1,2.3,11.1,,,2.11,19.2,9.9,107.3%,16
D,10,22-Oct-1997,6.0,7.27,117.2,27.5,4.1,1.5,4.8,10.2,0.005,2.98,0.12,0.005,0.77,6.0,2.3,11.0,,,1.56,14.1,8.6,83.8%,16
D,10,4-Nov-1997,7.5,7.32,104.8,27.5,1.5,1.7,4.3,10.2,0.014,2.63,0.16,0.005,0.92,6.1,2.3,10.7,,,1.73,11.8,9.2,85.2%,17
D,10,15-Apr-1998,8.4,7.57,106.5,27.0,1.6,2.4,4.2,11.0,0.030,2.49,0.18,0.012,0.98,6.6,2.2,10.8,,,2.58,4.2,13.5,103.7%,
D,10,30-Apr-1998,8.6,7.97,106.1,27.0,1.4,1.5,4.2,10.9,0.016,2.54,0.18,0.005,0.93,6.5,2.1,10.8,,,1.76,6.9,12.3,100.6%,
D,10,12-May-1998,9.0,7.45,105.3,27.0,1.0,2.1,4.3,10.8,0.015,2.66,0.13,0.012,0.93,6.5,2.1,10.4,,,1.30,7.8,12.4,104.2%,
D,10,26-May-1998,10.9,7.49,100.8,27.0,1.8,1.9,4.2,11.8,0.008,2.52,0.16,0.010,0.79,6.1,2.2,10.2,,,1.06,12.5,12.0,112.8%,
D,10,10-Jun-1998,12.0,7.64,104.8,27.0,1.2,2.2,3.9,12.0,0.005,2.59,0.10,0.005,0.76,6.3,2.2,9.6,,,1.30,13.8,10.1,97.8%,
D,10,16-Jul-1998,8.9,7.56,104.4,26.0,1.3,2.1,5.3,10.9,0.005,2.45,0.16,0.010,0.58,6.1,2.2,9.4,,,1.74,13.4,7.9,75.7%,
D,10,6-Aug-1998,8.5,7.30,101.8,27.0,0.5,1.4,3.3,11.1,0.005,2.61,0.15,0.005,0.60,6.2,2.3,10.6,,,1.51,19.4,10.5,114.2%,
D,10,1-Sep-1998,8.5,7.92,105.5,28.0,1.3,1.8,4.5,10.9,0.005,2.51,0.18,0.005,0.49,6.1,2.1,10.0,,,1.51,22.0,9.8,112.0%,
D,10,30-Sep-1998,7.0,7.80,106.3,29.0,0.5,1.9,6.4,10.9,0.005,2.62,0.18,0.005,0.77,6.3,2.1,9.6,,,2.07,18.7,10.4,111.6%,
D,10,13-Oct-1998,6.4,7.68,105.1,29.0,1.9,1.7,5.8,11.0,0.005,2.57,0.18,0.005,0.63,6.1,2.1,11.8,,,2.08,15.3,9.0,90.2%,
D,10,2-Nov-1998,7.6,7.63,100.9,29.0,1.5,1.9,4.8,11.7,0.005,2.61,0.17,0.005,0.78,6.3,2.1,10.9,,,2.01,12.5,10.2,95.7%,
D,10,14-Apr-1999,7.0,7.70,105.3,28.0,1.4,2.3,6.7,12.1,0.013,2.67,0.18,0.005,0.77,6.0,2.2,10.9,,,3.31,4.0,13.9,106.0%,
D,10,27-Apr-1999,6.5,7.73,102.6,28.0,2.8,1.6,7.1,11.9,0.005,2.67,0.17,0.005,0.74,6.1,2.2,10.4,,,2.39,6.3,13.4,108.4%,
D,10,12-May-1999,8.1,7.81,103.2,28.0,1.1,1.6,5.2,11.8,0.005,2.74,0.16,0.005,0.76,6.5,2.3,10.7,,,1.42,9.0,13.3,115.1%,
D,10,26-May-1999,7.8,7.80,103.4,28.5,0.5,2.8,4.7,11.3,0.005,2.64,0.13,0.005,0.62,6.9,2.2,10.9,,,0.92,12.4,10.8,101.1%,
D,10,9-Jun-1999,7.0,7.88,107.9,28.0,1.0,2.3,4.0,12.0,0.005,2.47,0.16,0.005,0.58,7.0,2.3,11.2,,,0.77,12.8,10.5,99.2%,
D,10,23-Jun-1999,11.9,7.81,108.9,28.0,1.1,1.5,2.8,11.6,0.005,2.67,0.15,0.005,0.50,6.9,2.4,11.3,,,0.81,16.1,10.5,106.6%,
D,10,21-Jul-1999,12.5,7.82,111.8,27.5,0.5,1.8,3.9,11.3,0.005,2.56,0.12,0.005,0.52,6.7,2.3,11.3,,,1.06,22.0,8.5,97.3%,
D,10,11-Aug-1999,8.9,7.71,109.8,29.0,1.6,2.0,3.7,13.4,0.005,2.55,0.14,0.005,0.45,6.4,2.3,11.0,,,1.33,22.7,7.4,85.8%,
D,10,9-Sep-1999,10.0,7.98,114.0,29.0,0.5,1.4,3.0,11.0,0.005,2.53,0.15,0.005,0.54,6.5,2.4,11.4,,,1.03,22.2,8.6,98.8%,
D,10,6-Oct-1999,6.8,7.67,110.4,27.0,1.1,2.0,5.4,11.7,0.007,2.59,0.19,0.005,0.71,6.4,2.3,10.8,,,1.28,16.3,9.4,95.8%,
D,10,20-Oct-1999,8.0,7.53,112.5,27.5,1.2,1.4,6.4,11.9,0.005,2.62,0.15,0.005,0.79,6.6,2.3,10.7,,,1.97,13.9,9.8,94.8%,
D,10,4-Nov-1999,8.6,7.63,105.5,28.0,0.5,1.1,4.0,11.9,0.005,2.79,0.15,0.005,0.72,6.7,2.3,11.1,,,1.63,12.1,9.2,85.5%,
D,10,12-Apr-2000,6.0,7.57,107.1,29.0,1.4,3.1,5.6,13.0,0.012,2.91,0.18,0.005,0.91,8.5,2.2,11.4,,,2.72,3.6,13.2,99.8%,
D,10,25-Apr-2000,7.0,7.59,103.0,29.0,1.2,1.0,6.0,12.7,0.010,2.87,0.14,0.010,0.94,8.7,2.1,11.5,,,2.98,4.9,13.7,107.1%,
D,10,9-May-2000,9.5,7.61,104.4,28.0,1.6,1.9,3.9,11.8,0.005,2.83,0.11,0.005,0.93,6.7,2.3,10.0,,,1.36,7.8,13.7,115.1%,
D,10,23-May-2000,8.5,7.60,104.6,28.0,1.5,2.3,5.5,13.3,0.013,2.87,0.14,0.005,0.83,6.7,2.3,9.8,,,1.95,8.8,10.5,90.4%,
D,10,6-Jun-2000,7.9,7.65,102.0,27.0,1.1,1.7,4.1,13.2,0.005,3.12,0.16,0.005,0.66,6.7,2.3,10.7,,,2.77,12.8,9.5,89.7%,
D,10,27-Jun-2000,8.0,7.04,107.7,26.0,1.1,2.9,4.0,13.0,0.005,2.68,0.18,0.005,0.60,6.9,2.3,10.6,,,1.95,14.6,11.2,109.7%,
D,10,26-Jul-2000,7.0,7.70,108.2,28.0,0.5,2.9,4.1,12.3,0.005,2.68,0.19,0.005,0.52,6.7,2.3,10.2,,,0.93,17.9,11.3,119.1%,
D,10,24-Aug-2000,8.5,7.85,105.4,28.0,1.6,2.2,5.8,11.5,0.005,2.54,0.15,0.005,0.58,6.8,2.2,10.9,,,2.03,20.6,10.4,115.7%,
D,10,19-Sep-2000,8.5,7.60,108.7,29.0,1.3,3.0,5.2,11.9,0.005,2.69,0.15,0.005,0.74,6.8,2.3,10.6,,,2.26,19.2,9.5,102.8%,
D,10,19-Oct-2000,,,,,,,,,,,,,,,,,,,,14.0,10.3,99.9%,
D,10,1-Nov-2000,7.8,7.57,107.8,28.0,1.5,2.4,5.7,11.4,0.010,2.63,0.22,0.005,0.85,6.7,2.3,9.4,,,2.18,11.8,9.8,90.5%,
D,10,1-May-2001,6.8,7.36,105.8,26.5,1.2,2.9,5.0,13.2,0.010,2.35,0.19,0.005,0.92,7.2,2.2,9.8,,,2.94,6.4,15.6,126.6%,
D,10,16-May-2001,6.7,7.52,107.1,26.0,1.3,2.7,4.9,13.0,0.010,2.39,0.14,0.005,0.80,7.3,2.1,10.0,,,1.82,10.1,11.0,97.7%,
D,10,30-May-2001,6.9,7.43,109.1,26.5,1.1,1.9,3.9,12.5,0.010,2.19,0.19,0.005,0.71,6.7,2.1,10.6,0.60,,0.59,11.3,11.0,100.4%,
D,10,13-Jun-2001,11.3,7.61,103.2,27.5,1.0,3.4,3.4,14.2,0.005,2.43,0.13,0.005,0.63,6.9,2.2,10.8,0.62,,1.13,12.0,11.5,106.7%,
D,10,27-Jun-2001,11.5,7.50,97.8,27.0,0.5,2.8,4.2,11.8,0.005,2.37,0.13,0.005,0.56,7.0,2.1,10.0,,,1.19,13.8,11.2,108.1%,
D,10,24-Jul-2001,8.0,7.48,114.1,28.0,1.6,2.0,3.1,11.4,0.005,2.34,0.13,0.013,0.56,7.4,2.2,10.2,,,1.56,14.1,11.8,114.7%,
D,10,22-Aug-2001,8.5,7.64,110.2,27.0,2.0,1.7,2.9,12.0,0.005,2.59,0.11,0.005,0.59,7.0,2.2,10.0,,,0.57,23.5,8.5,100.0%,
D,10,20-Sep-2001,7.0,7.43,111.7,28.5,1.3,1.9,3.7,12.0,0.005,2.53,0.13,0.005,0.61,7.7,2.2,10.3,,,1.08,19.6,8.7,94.9%,
D,10,19-Oct-2001,7.0,7.47,108.1,28.5,0.5,2.9,4.2,12.0,0.005,2.38,0.11,0.005,0.73,6.7,2.2,9.6,,,1.84,14.8,9.7,95.8%,
D,10,6-Nov-2001,7.0,7.46,111.6,28.5,1.4,1.8,4.1,11.7,0.005,2.68,0.12,0.005,0.79,7.3,2.3,10.1,,,2.12,12.3,9.4,87.7%,
D,10,16-Apr-2002,9.0,7.29,115.2,28.5,1.3,2.3,4.6,13.7,0.005,2.60,0.15,0.005,0.71,6.8,2.4,10.6,,,3.63,6.4,11.7,94.9%,
D,10,30-Apr-2002,8.5,7.40,110.0,28.5,1.1,1.8,4.1,13.4,0.005,2.55,0.11,0.005,0.70,6.7,2.3,11.3,,,1.86,6.1,12.6,101.5%,
D,10,15-May-2002,9.5,7.51,111.5,27.0,1.0,3.0,4.8,13.6,0.005,2.51,0.09,0.005,0.62,6.8,2.3,9.5,,,0.83,8.2,12.5,106.1%,
D,10,29-May-2002,9.0,7.78,116.2,29.5,0.5,2.2,4.6,14.5,0.005,2.42,0.15,0.005,0.56,7.8,2.4,10.9,0.43,,1.37,10.6,11.2,100.6%,
D,10,11-Jun-2002,7.5,7.65,110.4,29.0,1.0,2.4,3.2,13.9,0.005,2.38,0.10,0.005,0.46,7.2,2.4,10.1,,,1.91,13.4,11.0,105.3%,
D,10,26-Jun-2002,8.0,7.75,109.0,27.0,1.2,1.2,2.2,13.7,0.005,2.37,0.12,0.005,0.44,7.0,2.3,10.3,,,0.92,15.6,10.0,100.5%,
D,10,19-Jul-2002,10.0,7.63,119.0,28.5,0.5,1.9,3.6,13.8,0.005,2.41,0.12,0.005,0.53,6.7,2.4,10.5,,,1.44,17.8,9.2,96.7%,
D,10,29-Aug-2002,8.5,7.64,116.4,30.5,0.5,3.0,3.0,13.0,0.005,2.59,0.16,0.005,0.53,6.4,2.3,10.3,,,1.12,22.1,9.8,112.3%,
D,10,26-Sep-2002,10.5,7.44,121.4,29.0,1.0,1.8,3.5,13.8,0.005,2.51,0.12,0.005,0.61,6.8,2.3,10.3,,,1.29,20.3,8.5,94.0%,
D,10,23-Oct-2002,8.2,7.41,115.7,29.0,1.0,2.2,4.8,12.6,0.005,2.43,0.17,0.005,0.77,6.9,2.3,10.4,,,1.68,14.2,9.8,95.5%,
D,10,6-Nov-2002,6.7,7.49,119.5,30.0,1.5,2.2,6.0,14.1,0.005,2.56,0.20,0.005,0.90,7.0,2.3,10.5,,,2.64,11.2,10.8,98.4%,
D,10,6-May-2003,10.5,7.53,118.5,28.5,1.1,1.9,5.1,14.3,0.005,2.42,0.13,0.005,0.69,7.1,2.3,11.2,,,1.68,5.9,12.7,101.7%,19
D,10,20-May-2003,9.4,7.36,122.2,28.0,1.5,1.8,4.9,13.9,0.005,2.41,0.18,0.005,0.75,7.2,2.4,10.3,,,1.07,8.8,11.2,96.4%,19
D,10,3-Jun-2003,10.8,7.48,115.0,28.0,0.5,2.0,3.9,14.5,0.005,2.42,0.11,0.005,0.70,7.1,2.4,10.6,,,,11.0,10.5,95.2%,20
D,10,19-Jun-2003,7.8,7.46,119.0,28.0,1.3,2.1,4.2,14.3,0.005,2.37,0.12,0.005,0.65,8.0,2.4,10.7,,,2.06,15.0,10.7,106.4%,19
D,10,18-Jul-2003,9.2,7.76,121.9,28.0,0.5,1.8,5.9,13.8,0.005,2.30,0.13,0.014,0.67,8.3,2.4,10.2,,,0.98,14.4,10.5,102.6%,20
D,10,14-Aug-2003,9.6,7.79,117.3,30.0,0.5,2.2,3.5,14.1,0.005,2.40,0.16,0.005,0.67,8.1,2.3,11.0,,,1.25,20.8,9.7,108.3%,18
D,10,10-Sep-2003,10.1,7.52,118.4,30.0,0.5,1.5,4.0,14.9,0.005,2.51,0.13,0.005,0.76,8.3,2.5,10.4,,,0.99,21.0,8.1,90.8%,17
D,10,10-Oct-2003,8.5,7.48,120.6,29.5,0.5,1.9,5.4,14.8,0.005,2.45,0.16,0.005,0.86,7.4,2.5,10.2,,,1.37,15.5,9.7,97.2%,19
D,10,22-Oct-2003,8.5,7.32,116.7,29.5,0.5,4.3,4.5,14.7,0.005,2.41,0.15,0.005,0.96,7.2,2.5,10.9,,,1.66,13.2,10.0,95.3%,18
D,10,11-Nov-2003,8.0,7.51,110.4,30.0,1.2,2.4,7.0,14.6,0.011,2.40,0.16,0.005,1.11,7.9,2.4,11.2,,,2.06,10.5,10.7,95.9%,18
D,10,29-Apr-2004,7.3,7.53,125.3,30.0,1.4,2.3,6.7,15.1,0.019,2.24,0.23,0.005,1.16,7.4,2.3,10.4,0.53,,2.30,6.2,12.7,102.5%,
D,10,11-May-2004,7.5,7.61,123.8,29.0,3.0,2.4,4.7,13.3,0.014,2.10,0.16,0.005,1.14,7.5,2.3,11.9,0.52,,2.69,8.8,11.4,98.1%,
D,10,25-May-2004,5.9,7.67,119.0,29.0,1.6,3.3,7.4,15.6,0.005,2.40,0.14,0.005,1.14,7.7,2.4,11.7,0.66,,1.86,11.6,12.3,112.6%,
D,10,8-Jun-2004,8.5,7.66,123.9,30.0,1.5,2.3,4.1,16.1,0.005,2.31,0.16,0.005,1.01,8.4,2.3,11.7,0.56,,1.19,14.5,9.7,95.1%,
D,10,24-Jun-2004,8.2,7.74,123.3,29.0,0.5,2.4,6.4,16.2,0.005,2.31,0.12,0.005,0.86,8.6,2.2,12.2,0.52,,1.71,15.8,9.8,99.2%,
D,10,22-Jul-2004,11.5,7.45,123.8,29.0,1.3,1.8,3.6,15.1,0.005,2.35,0.10,0.005,0.61,8.4,2.3,11.4,0.52,,1.06,17.5,10.6,111.0%,
D,10,23-Aug-2004,7.1,7.43,126.4,28.0,1.4,1.5,5.2,15.0,0.005,2.20,0.15,0.005,0.61,8.5,2.3,11.4,0.54,,1.07,21.8,8.6,96.6%,
D,10,22-Sep-2004,7.3,7.50,126.7,29.0,2.6,2.2,5.3,14.9,0.005,2.12,0.15,0.005,0.83,8.5,2.3,11.4,0.54,,2.08,18.9,9.0,96.8%,
D,10,20-Oct-2004,8.0,7.46,120.4,30.0,1.3,1.4,4.8,16.0,0.005,2.20,0.15,0.005,1.05,8.3,2.4,11.2,0.52,,2.56,14.6,8.8,86.5%,
D,10,2-Nov-2004,7.8,7.46,122.3,29.5,1.1,1.7,4.9,14.3,0.005,2.22,0.15,0.005,1.05,8.4,2.4,11.4,0.53,,2.06,13.1,10.3,97.9%,
D,10,17-Nov-2004,8.4,7.52,118.3,30.0,1.5,2.1,4.7,14.9,0.005,2.34,0.16,0.005,1.21,8.3,2.4,12.5,0.52,,1.94,9.9,10.5,92.8%,
D,10,26-Apr-2005,8.9,7.43,124.7,28.5,1.3,2.7,6.7,15.4,0.018,2.30,0.14,0.005,1.33,8.3,2.4,11.5,0.57,,1.68,5.2,14.0,110.2%,17
D,10,10-May-2005,8.0,7.42,122.1,29.0,1.4,2.3,6.6,15.4,0.023,2.34,0.12,0.005,1.33,8.0,2.4,12.3,0.55,,2.11,7.8,10.7,89.9%,16
D,10,25-May-2005,7.0,7.46,122.4,30.0,1.3,1.8,4.4,16.5,0.005,2.30,0.11,0.005,1.12,8.0,2.4,12.4,0.55,,2.13,10.3,12.0,107.0%,20
D,10,9-Jun-2005,9.0,7.70,123.8,30.0,0.5,2.0,4.3,15.6,0.005,2.31,0.14,0.005,1.07,8.1,2.4,12.7,0.54,,1.66,11.1,11.2,101.8%,18
D,10,21-Jun-2005,5.5,7.49,113.3,29.0,1.6,2.1,4.8,15.9,0.005,2.24,0.13,0.005,0.94,7.8,2.3,11.9,0.54,,1.48,15.6,10.1,101.5%,14
D,10,21-Jul-2005,8.4,7.41,125.9,30.0,0.5,2.7,4.4,15.8,0.005,2.38,0.15,0.005,0.68,8.8,2.3,12.5,0.53,,1.89,15.4,10.7,107.0%,16
D,10,19-Aug-2005,7.8,7.61,130.1,30.0,1.0,1.3,4.1,14.0,0.005,2.15,0.13,0.005,0.71,9.1,2.4,12.2,0.56,,1.19,23.5,8.3,97.6%,16
D,10,13-Sep-2005,8.5,7.61,128.4,31.0,1.3,1.5,5.5,16.3,0.010,2.26,0.15,0.005,0.81,8.6,2.3,12.0,0.55,,0.97,21.5,8.4,95.2%,17
D,10,11-Oct-2005,7.4,7.42,126.3,30.0,1.8,1.8,4.9,15.2,0.005,2.16,0.14,0.005,0.98,8.4,2.5,11.6,0.54,,1.84,16.1,10.2,103.6%,19
D,10,27-Oct-2005,8.9,7.60,126.2,30.0,1.0,1.6,4.0,15.6,0.005,2.20,0.12,0.005,1.13,8.1,2.3,11.7,0.51,,1.98,12.9,9.1,86.1%,18
D,10,8-Nov-2005,7.8,7.48,123.0,30.0,1.1,1.6,5.5,16.3,0.005,2.08,0.14,0.005,1.17,8.3,2.5,12.4,0.54,,2.59,11.9,10.0,92.5%,18
D,10,11-Apr-2006,6.0,7.57,122.0,27.0,2.6,2.2,6.4,15.5,0.012,2.17,0.15,0.005,1.06,9.0,2.2,11.8,0.55,,3.69,3.9,13.5,102.7%,12
D,10,25-Apr-2006,7.0,7.31,123.0,27.0,0.5,2.2,5.6,15.4,0.005,2.11,0.15,0.005,0.97,8.9,2.2,11.8,0.52,,2.29,6.8,13.9,113.9%,18
D,10,11-May-2006,7.0,7.58,120.9,28.5,0.5,2.5,3.3,14.7,0.005,2.05,0.17,0.005,0.94,8.8,2.2,11.4,0.53,,2.22,8.9,12.7,109.6%,18
D,10,24-May-2006,8.0,7.57,120.4,28.0,1.0,1.7,4.7,14.9,0.005,2.19,0.13,0.005,0.95,9.0,2.1,11.3,0.52,,1.81,11.4,11.6,106.1%,16
D,10,7-Jun-2006,8.0,7.54,118.4,28.5,1.5,2.5,4.2,14.0,0.005,2.12,0.15,0.005,0.88,8.5,2.1,11.6,0.53,,1.69,14.2,10.4,101.3%,18
D,10,21-Jun-2006,9.2,7.53,127.0,28.5,0.5,2.1,4.4,15.6,0.005,2.04,0.13,0.005,0.71,8.7,2.1,12.4,0.52,,1.43,13.1,10.6,100.8%,17
D,10,18-Jul-2006,9.0,7.45,116.9,28.5,1.3,2.1,4.0,14.9,0.005,2.04,0.12,0.005,0.69,8.3,2.0,10.6,0.52,,1.34,16.6,9.2,93.8%,17
D,10,18-Aug-2006,7.0,7.62,117.9,30.0,2.4,1.6,3.5,15.0,0.005,2.09,0.14,0.005,0.69,8.5,2.1,10.6,0.51,,1.07,22.8,8.1,94.1%,17
D,10,15-Sep-2006,8.1,7.70,124.3,31.0,0.5,2.0,4.0,14.5,0.005,2.01,0.13,0.005,0.78,8.5,2.2,11.6,0.50,,1.54,19.2,8.7,94.1%,18
D,10,11-Oct-2006,7.6,7.56,124.6,30.0,1.5,2.8,5.3,14.8,0.005,1.92,0.13,0.005,1.00,8.5,2.1,11.6,0.49,,1.36,15.5,9.0,89.8%,17
D,10,25-Oct-2006,6.9,7.52,125.8,30.5,0.5,1.9,4.8,15.1,0.005,2.01,0.13,0.005,1.16,8.4,2.4,11.3,0.50,,2.27,12.9,9.3,88.0%,18
D,10,8-Nov-2006,8.2,7.50,126.2,30.0,0.5,1.8,5.5,15.0,0.005,2.08,0.11,0.005,1.16,8.8,2.1,12.2,0.49,,3.19,10.9,10.1,91.4%,16
D,10,1-May-2007,10.0,7.50,119.6,28.0,1.4,2.4,4.4,14.6,0.019,2.06,0.15,0.005,1.12,8.9,1.9,10.8,0.52,,1.64,5.5,7.0,55.5%,18
D,10,16-May-2007,7.7,7.67,122.3,29.0,1.2,2.3,4.0,15.0,0.015,2.06,0.17,0.005,1.08,9.0,2.1,12.6,0.48,,1.69,10.0,11.3,100.1%,20
D,10,30-May-2007,10.6,7.53,120.3,26.0,0.5,1.6,3.3,14.4,0.016,2.08,0.15,0.005,1.07,9.0,2.2,11.9,0.47,,1.17,11.1,10.7,97.2%,18
D,10,13-Jun-2007,7.3,7.56,122.8,29.0,2.0,1.7,2.8,13.9,0.005,2.18,0.11,0.005,0.80,8.8,2.3,12.2,0.46,,1.87,13.0,10.8,102.5%,20
D,10,10-Jul-2007,10.9,7.59,125.0,28.0,0.5,1.1,2.4,14.0,0.005,1.76,0.17,0.005,0.74,8.9,2.2,11.9,0.47,,1.69,18.7,9.9,106.0%,18
D,10,8-Aug-2007,9.3,7.51,123.8,28.0,1.2,1.0,2.7,14.5,0.005,2.01,0.13,0.005,0.85,9.0,2.3,11.4,0.48,,1.32,18.8,10.2,109.5%,20
D,10,5-Sep-2007,8.6,7.78,128.0,30.0,0.5,1.5,3.2,15.0,0.005,2.10,0.14,0.005,0.82,9.0,2.1,14.0,0.47,,0.92,20.9,8.4,94.0%,17
D,10,2-Oct-2007,7.8,7.61,131.2,30.0,1.3,1.4,3.1,14.0,0.005,1.99,0.08,0.005,0.92,9.0,2.1,13.4,0.47,,1.38,18.6,8.9,95.1%,19
D,10,30-Oct-2007,8.0,7.67,122.0,30.0,1.7,2.2,4.9,15.6,0.005,2.12,0.11,0.005,1.05,8.5,2.1,13.2,0.44,,1.71,14.6,9.7,95.4%,19
D,10,14-Nov-2007,6.9,7.64,125.7,31.5,1.1,1.8,5.3,15.4,0.005,2.04,0.12,0.005,1.22,8.3,2.1,12.5,0.50,,2.17,11.3,10.4,94.9%,16
D,10,23-Apr-2008,8.0,7.60,117.1,28.5,1.4,2.1,3.7,15.3,0.005,2.00,0.13,0.005,1.15,9.4,2.1,11.4,0.47,,1.59,10.2,13.0,115.7%,16
D,10,7-May-2008,7.3,7.62,117.3,28.0,1.3,2.0,4.4,15.4,0.005,1.96,0.12,0.005,1.15,9.3,2.2,10.9,0.45,,3.32,11.0,12.0,108.8%,15
D,10,20-May-2008,7.0,7.74,119.1,29.0,1.4,1.9,4.6,15.0,0.005,1.90,0.13,0.005,1.07,9.1,2.3,11.8,0.52,,2.67,11.5,12.5,114.6%,16
D,10,4-Jun-2008,8.1,7.55,116.5,28.0,1.1,1.7,3.2,15.0,0.005,1.96,0.13,0.005,1.03,9.1,2.2,12.7,0.49,,1.38,13.7,10.4,100.2%,16
D,10,18-Jun-2008,7.9,7.58,118.6,28.5,1.1,1.7,3.9,15.4,0.005,1.95,0.11,0.005,0.83,9.1,2.2,13.0,0.50,,1.25,19.0,9.0,97.0%,20
D,10,15-Jul-2008,10.2,7.38,113.6,28.0,1.2,1.8,4.1,15.1,0.005,1.94,0.15,0.005,0.59,8.9,2.4,12.2,0.52,,1.72,22.6,8.4,97.2%,14
D,10,12-Aug-2008,8.6,7.44,113.8,26.5,1.1,1.9,3.3,14.7,0.005,1.91,0.13,0.005,0.63,8.7,2.4,12.0,0.48,,1.32,22.5,8.4,97.5%,18
D,10,27-Aug-2008,8.2,7.69,116.1,29.0,0.5,2.0,4.0,15.2,0.005,2.03,0.09,0.005,0.64,8.9,2.4,12.2,0.53,,1.05,22.0,9.1,103.7%,16
D,10,12-Sep-2008,6.5,7.81,115.0,30.0,0.5,1.9,4.1,14.9,0.005,1.92,0.13,0.005,0.70,8.7,2.4,11.7,0.49,,1.25,20.3,8.9,98.5%,19
D,10,9-Oct-2008,8.0,7.65,116.3,29.0,1.1,2.0,5.0,15.1,0.005,2.00,0.13,0.005,0.79,8.9,2.3,12.4,0.49,,1.54,16.2,9.8,99.7%,20
D,10,22-Oct-2008,9.0,7.63,120.2,31.0,1.0,2.2,4.4,15.1,0.005,1.97,0.11,0.005,0.85,8.8,2.4,12.0,0.47,,1.68,13.4,10.3,98.6%,20
